iter	MAE	RMSE
0	5.463917711	6.543622224
1	5.310612047	6.384126005
2	5.163853557	6.233192897
3	5.020498006	6.08510176
4	4.885691309	5.944291907
5	4.753140048	5.806105689
6	4.626092552	5.672799448
7	4.505485573	5.545499822
8	4.388829265	5.421004339
9	4.277297746	5.302540265
10	4.170385935	5.188088837
11	4.067024966	5.078239055
12	3.967178033	4.970782105
13	3.871212869	4.867138253
14	3.781444642	4.769684447
15	3.691967871	4.673884058
16	3.607683516	4.583179421
17	3.526744819	4.494429298
18	3.448451087	4.410920519
19	3.375241442	4.331847321
20	3.303179498	4.254820195
21	3.236296665	4.18207879
22	3.1702287	4.111063361
23	3.107638593	4.041851102
24	3.047150265	3.975921682
25	2.988898411	3.91213531
26	2.931085447	3.849067342
27	2.876597006	3.789345217
28	2.827270947	3.734378416
29	2.77762992	3.679954086
30	2.732130092	3.629556902
31	2.689073588	3.581554835
32	2.647240385	3.534531699
33	2.607231775	3.488676331
34	2.569814573	3.445842523
35	2.532539605	3.403035784
36	2.497435839	3.362646679
37	2.465639489	3.325401336
38	2.435370229	3.289076908
39	2.408676229	3.2563628
40	2.381756637	3.223220812
41	2.356044964	3.191490437
42	2.332928957	3.161779527
43	2.310062458	3.131634901
44	2.289634696	3.104901728
45	2.2700503	3.078975498
46	2.250478593	3.05336172
47	2.232907766	3.029234699
48	2.215967139	3.005510811
49	2.200942542	2.984727236
50	2.185425991	2.963475345
51	2.170652296	2.94184482
52	2.157671316	2.922964264
53	2.145497996	2.904327466
54	2.133984482	2.887220934
55	2.123992153	2.87168203
56	2.114151133	2.856583728
57	2.105598807	2.842289849
58	2.096692917	2.827606807
59	2.088413947	2.813368496
60	2.08073883	2.799720898
61	2.074397731	2.787616179
62	2.06781051	2.776149619
63	2.062098473	2.765248226
64	2.05603787	2.752614444
65	2.050929912	2.742311255
66	2.045599726	2.732185012
67	2.040992732	2.722119367
68	2.036803585	2.712792961
69	2.032852104	2.703384145
70	2.029568263	2.695671964
71	2.026310937	2.68822829
72	2.023083682	2.67989103
73	2.019917843	2.671984324
74	2.017078826	2.665224001
75	2.01440344	2.657977184
76	2.01175715	2.651241852
77	2.009332167	2.644962333
78	2.00728543	2.639164833
79	2.005655586	2.634302377
80	2.004150138	2.629522406
81	2.001719334	2.622375245
82	2.000652385	2.618067085
83	1.999220285	2.611962961
84	1.998201335	2.607535521
85	1.996717768	2.603475029
86	1.9948155	2.597290484
87	1.993205919	2.592132825
88	1.991982649	2.586460703
89	1.991175431	2.583154127
90	1.989787258	2.579070671
91	1.988917909	2.574582308
92	1.987634291	2.569703553
93	1.986107621	2.565400568
94	1.985461954	2.561185572
95	1.984819132	2.558529068
96	1.98392926	2.55562449
97	1.983035385	2.552316931
98	1.981710506	2.548600961
99	1.980710275	2.545131189
100	1.980037821	2.542329042
101	1.979281606	2.539135596
102	1.978036301	2.53579614
103	1.977496797	2.533492826
104	1.976998077	2.530674199
105	1.976327413	2.528123022
106	1.974979707	2.525253146
107	1.973969666	2.52252668
108	1.972774404	2.519388045
109	1.972363862	2.516274845
110	1.971333099	2.513065684
111	1.970512625	2.510090544
112	1.969769229	2.507755174
113	1.969056193	2.505630153
114	1.968534543	2.503998387
115	1.968108388	2.502439866
116	1.967318738	2.499631104
117	1.966528305	2.497305158
118	1.965520379	2.495320253
119	1.964849411	2.492477906
120	1.963788416	2.490569315
121	1.963296819	2.488165999
122	1.962690412	2.485940011
123	1.962697498	2.484781692
124	1.962016778	2.482814119
125	1.961085123	2.480424949
126	1.959776942	2.477939313
127	1.959475997	2.476353979
128	1.958363504	2.474154519
129	1.957715269	2.472588262
130	1.957214886	2.471340109
131	1.956676867	2.470092003
132	1.956412058	2.469227632
133	1.955923121	2.467732414
134	1.955372358	2.466567219
135	1.954807438	2.465705073
136	1.954094104	2.464115804
137	1.95353408	2.462842277
138	1.952918886	2.461511616
139	1.952116212	2.459876344
140	1.95162473	2.458025433
141	1.9507777	2.456666983
142	1.950365154	2.455529838
143	1.949937659	2.454017179
144	1.949066911	2.452368573
145	1.948628273	2.451487846
146	1.947972566	2.450254056
147	1.947532908	2.449138987
148	1.946772776	2.447435383
149	1.946093032	2.446110534
150	1.944975087	2.443835003
151	1.944677579	2.442785573
152	1.943695125	2.441325892
153	1.942909162	2.440221266
154	1.941997457	2.438750846
155	1.941474314	2.437164625
156	1.940856798	2.43635144
157	1.940347578	2.435288023
158	1.93946053	2.433771376
159	1.938561079	2.432106944
160	1.937797196	2.430606644
161	1.937345745	2.429798119
162	1.936379578	2.427829516
163	1.935808922	2.426779296
164	1.935093312	2.425898394
165	1.934334138	2.424495914
166	1.933497939	2.423152343
167	1.93299733	2.422404186
168	1.932085214	2.420861567
169	1.931346693	2.419622036
170	1.930419886	2.41837546
171	1.929869936	2.416935999
172	1.929002645	2.415693789
173	1.928325898	2.414894173
174	1.927629917	2.413457299
175	1.9270443	2.4121805
176	1.926690521	2.411745194
177	1.925492553	2.410272554
178	1.924746836	2.409326375
179	1.924289606	2.408625628
180	1.923857689	2.407810944
181	1.923293512	2.40694432
182	1.922798433	2.406310121
183	1.921836059	2.404572883
184	1.920914326	2.403321102
185	1.920398856	2.402124866
186	1.919901034	2.401305666
187	1.919001584	2.399999697
188	1.918394914	2.399076499
189	1.917899192	2.398270557
190	1.917135257	2.397173043
191	1.91600149	2.395977857
192	1.915547847	2.395242248
193	1.915297446	2.394819085
194	1.914464494	2.393611326
195	1.913795912	2.392469297
196	1.913027033	2.391170199
197	1.912349031	2.390158338
198	1.911747993	2.389377069
199	1.910916226	2.388144608
200	1.909867297	2.387104371
201	1.909468368	2.386271065
202	1.908925052	2.385101888
203	1.908331584	2.384404357
204	1.907454651	2.383336393
205	1.906949497	2.382681251
206	1.906352263	2.381771306
207	1.905746689	2.380943728
208	1.905296333	2.380315576
209	1.904377683	2.379108587
210	1.903828517	2.378318761
211	1.903059254	2.377222564
212	1.901923251	2.376001777
213	1.901002343	2.374752624
214	1.900482512	2.373954603
215	1.900040806	2.373068297
216	1.899118766	2.371992319
217	1.89866342	2.371290733
218	1.897699304	2.37007938
219	1.896635056	2.368765047
220	1.896416903	2.368332601
221	1.896030197	2.367569169
222	1.895516194	2.366772021
223	1.89496527	2.365910769
224	1.894403135	2.365071117
225	1.893388954	2.364005316
226	1.892927682	2.363533557
227	1.892131018	2.362375426
228	1.891194679	2.360951891
229	1.89067532	2.360126572
230	1.889972624	2.359172075
231	1.889165658	2.358256595
232	1.888479558	2.357340598
233	1.887847634	2.356723539
234	1.88749332	2.355992989
235	1.887324737	2.355723734
236	1.88693931	2.354959343
237	1.886020536	2.353885757
238	1.885197506	2.352583186
239	1.884521072	2.351724478
240	1.883619956	2.350399564
241	1.882658954	2.34925882
242	1.881868369	2.348033782
243	1.881015675	2.34687296
244	1.880482543	2.346212454
245	1.879881484	2.34534099
246	1.879009547	2.344323067
247	1.878248915	2.343230738
248	1.877954366	2.342879754
249	1.877482071	2.342129637
250	1.876817385	2.340882565
251	1.876461768	2.340364943
252	1.875882982	2.339344964
253	1.875436415	2.338968994
254	1.87485981	2.338350533
255	1.873732066	2.336586183
256	1.872789371	2.335264232
257	1.871844416	2.334176289
258	1.871296936	2.333345693
259	1.870532729	2.332295073
260	1.869881477	2.331548038
261	1.86942837	2.330981803
262	1.869063463	2.330415484
263	1.868742372	2.329797204
264	1.868113021	2.328966934
265	1.867607627	2.328311485
266	1.866946196	2.327652839
267	1.866738621	2.327404662
268	1.865679427	2.326024207
269	1.865067822	2.325215483
270	1.864542335	2.324514691
271	1.863776133	2.323368299
272	1.863334108	2.322682924
273	1.862870874	2.322076108
274	1.862121341	2.321328201
275	1.861927258	2.321015987
276	1.861179021	2.320227239
277	1.860803345	2.31990384
278	1.859662839	2.31823355
279	1.85905191	2.317644063
280	1.858481784	2.316807453
281	1.858043875	2.316270029
282	1.857592639	2.315530137
283	1.85693906	2.314736174
284	1.856474203	2.314295441
285	1.856014092	2.313817747
286	1.855777762	2.313479166
287	1.855325765	2.312716671
288	1.854460497	2.311683247
